"wall_clock","relative time","geom","total"
"2020-06-30 18:41:39.427204","15.563166000000000000000000000000","3267","266373"
"2020-06-30 18:41:39.531298","15.667260000000000000000000000000","32067","295173"
"2020-06-30 18:41:39.636217","15.772179000000000000000000000000","32067","295173"
"2020-06-30 18:41:39.742286","15.878248000000000000000000000000","32067","295173"
"2020-06-30 18:41:39.855706","15.991668000000000000000000000000","32067","295173"
"2020-06-30 18:41:39.960889","16.096851000000000000000000000000","32067","295173"
"2020-06-30 18:41:40.067528","16.203490000000000000000000000000","32067","295173"
"2020-06-30 18:41:40.171491","16.307453000000000000000000000000","32067","295173"
"2020-06-30 18:41:40.277289","16.413251000000000000000000000000","32067","295173"
"2020-06-30 18:41:40.382907","16.518869000000000000000000000000","32067","295173"
"2020-06-30 18:41:40.489910","16.625872000000000000000000000000","32067","295173"
"2020-06-30 18:41:40.596467","16.732429000000000000000000000000","32067","295173"
"2020-06-30 18:41:40.701515","16.837477000000000000000000000000","32067","295173"
"2020-06-30 18:41:40.806676","16.942638000000000000000000000000","32067","295173"
"2020-06-30 18:41:40.912112","17.048074000000000000000000000000","32067","295173"
"2020-06-30 18:41:41.017459","17.153421000000000000000000000000","32067","295173"
"2020-06-30 18:41:41.122097","17.258059000000000000000000000000","32067","295173"
"2020-06-30 18:41:41.226950","17.362912000000000000000000000000","32067","295173"
"2020-06-30 18:41:41.331346","17.467308000000000000000000000000","32067","295173"
"2020-06-30 18:41:41.441413","17.577375000000000000000000000000","32067","295173"
"2020-06-30 18:41:41.546509","17.682471000000000000000000000000","353809","616915"
"2020-06-30 18:41:41.649606","17.785568000000000000000000000000","256503","519609"
"2020-06-30 18:41:41.753264","17.889226000000000000000000000000","320067","726837"
"2020-06-30 18:41:41.858073","17.994035000000000000000000000000","320067","726837"
"2020-06-30 18:41:41.966385","18.102347000000000000000000000000","320067","726837"
"2020-06-30 18:41:42.073666","18.209628000000000000000000000000","320067","726837"
"2020-06-30 18:41:42.180612","18.316574000000000000000000000000","320067","726837"
"2020-06-30 18:41:42.288830","18.424792000000000000000000000000","320067","726837"
"2020-06-30 18:41:42.395884","18.531846000000000000000000000000","320067","726837"
"2020-06-30 18:41:42.502202","18.638164000000000000000000000000","320067","726837"
"2020-06-30 18:41:42.609524","18.745486000000000000000000000000","320067","726837"
"2020-06-30 18:41:42.716203","18.852165000000000000000000000000","320067","726837"
"2020-06-30 18:41:42.822871","18.958833000000000000000000000000","320067","726837"
"2020-06-30 18:41:42.927916","19.063878000000000000000000000000","320067","726837"
"2020-06-30 18:41:43.033141","19.169103000000000000000000000000","320067","726837"
"2020-06-30 18:41:43.138753","19.274715000000000000000000000000","320067","726837"
"2020-06-30 18:41:43.243879","19.379841000000000000000000000000","320067","726837"
"2020-06-30 18:41:43.348909","19.484871000000000000000000000000","320067","726837"
"2020-06-30 18:41:43.456080","19.592042000000000000000000000000","320067","726837"
"2020-06-30 18:41:43.562054","19.698016000000000000000000000000","320067","726837"
"2020-06-30 18:41:43.669987","19.805949000000000000000000000000","320067","726837"
"2020-06-30 18:41:43.776027","19.911989000000000000000000000000","1349729","1756499"
"2020-06-30 18:41:43.880034","20.015996000000000000000000000000","1442129","1848899"
"2020-06-30 18:41:43.983691","20.119653000000000000000000000000","1500929","1907699"
"2020-06-30 18:41:44.086981","20.222943000000000000000000000000","1549649","1956419"
"2020-06-30 18:41:44.190230","20.326192000000000000000000000000","1587329","1994099"
"2020-06-30 18:41:44.293603","20.429565000000000000000000000000","1622609","2029379"
"2020-06-30 18:41:44.396716","20.532678000000000000000000000000","1653089","2059859"
"2020-06-30 18:41:44.500158","20.636120000000000000000000000000","1683569","2090339"
"2020-06-30 18:41:44.603617","20.739579000000000000000000000000","1710449","2117219"
"2020-06-30 18:41:44.706612","20.842574000000000000000000000000","1738529","2145299"
"2020-06-30 18:41:44.809644","20.945606000000000000000000000000","1761329","2168099"
"2020-06-30 18:41:44.912758","21.048720000000000000000000000000","1785089","2191859"
"2020-06-30 18:41:45.015884","21.151846000000000000000000000000","1806929","2213699"
"2020-06-30 18:41:45.119399","21.255361000000000000000000000000","1829249","2236019"
"2020-06-30 18:41:45.223029","21.358991000000000000000000000000","1848689","2255459"
"2020-06-30 18:41:45.326355","21.462317000000000000000000000000","1870049","2276819"
"2020-06-30 18:41:45.429406","21.565368000000000000000000000000","1889249","2296019"
"2020-06-30 18:41:45.532662","21.668624000000000000000000000000","1909889","2316659"
"2020-06-30 18:41:45.636549","21.772511000000000000000000000000","1928129","2334899"
"2020-06-30 18:41:45.740005","21.875967000000000000000000000000","1947089","2353859"
"2020-06-30 18:41:45.842928","21.978890000000000000000000000000","1963889","2370659"
"2020-06-30 18:41:45.946050","22.082012000000000000000000000000","1980689","2387459"
